Model,TBS2102
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-1.85600e-05,-13.75
-1.85520e-05,-13.5
-1.85440e-05,-13.75
-1.85360e-05,-13.5
-1.85280e-05,-13.75
-1.85200e-05,-13.75
-1.85120e-05,-13.75
-1.85040e-05,-13.75
-1.84960e-05,-13.75
-1.84880e-05,-13.75
-1.84800e-05,-13.75
-1.84720e-05,-13.75
-1.84640e-05,-13.75
-1.84560e-05,-13.75
-1.84480e-05,-13.5
-1.84400e-05,-13.75
-1.84320e-05,-13.75
-1.84240e-05,-13.5
-1.84160e-05,-13.75
-1.84080e-05,-13.75
-1.84000e-05,-13.75
-1.83920e-05,-13.75
-1.83840e-05,-13.75
-1.83760e-05,-13.5
-1.83680e-05,-13.75
-1.83600e-05,-13.75
-1.83520e-05,-13.75
-1.83440e-05,-13.75
-1.83360e-05,-13.75
-1.83280e-05,-13.75
-1.83200e-05,-13.75
-1.83120e-05,-13.75
-1.83040e-05,-13.75
-1.82960e-05,-13.75
-1.82880e-05,-13.75
-1.82800e-05,-13.75
-1.82720e-05,-13.75
-1.82640e-05,-13.75
-1.82560e-05,-13.75
-1.82480e-05,-13.5
-1.82400e-05,-13.5
-1.82320e-05,-13.75
-1.82240e-05,-13.5
-1.82160e-05,-13.75
-1.82080e-05,-13.75
-1.82000e-05,-13.75
-1.81920e-05,-13.75
-1.81840e-05,-13.75
-1.81760e-05,-13.75
-1.81680e-05,-13.75
-1.81600e-05,-13.75
-1.81520e-05,-13.75
-1.81440e-05,-13.5
-1.81360e-05,-13.75
-1.81280e-05,-13.75
-1.81200e-05,-13.75
-1.81120e-05,-14
-1.81040e-05,-13.5
-1.80960e-05,-13.75
-1.80880e-05,-13.75
-1.80800e-05,-13.75
-1.80720e-05,-13.5
-1.80640e-05,-13.5
-1.80560e-05,-13.75
-1.80480e-05,-13.75
-1.80400e-05,-13.75
-1.80320e-05,-13.75
-1.80240e-05,-13.75
-1.80160e-05,-13.5
-1.80080e-05,-13.75
-1.80000e-05,-13.75
-1.79920e-05,-13.75
-1.79840e-05,-13.75
-1.79760e-05,-13.75
-1.79680e-05,-13.5
-1.79600e-05,-13.5
-1.79520e-05,-13.75
-1.79440e-05,-13.75
-1.79360e-05,-13.75
-1.79280e-05,-13.75
-1.79200e-05,-13.5
-1.79120e-05,-13.75
-1.79040e-05,-13.75
-1.78960e-05,-13.75
-1.78880e-05,-13.75
-1.78800e-05,-13.5
-1.78720e-05,-13.5
-1.78640e-05,-13.75
-1.78560e-05,-13.75
-1.78480e-05,-13.75
-1.78400e-05,-13.5
-1.78320e-05,-13.5
-1.78240e-05,-13.5
-1.78160e-05,-13.75
-1.78080e-05,-13.5
-1.78000e-05,-13.75
-1.77920e-05,-13.75
-1.77840e-05,-13.75
-1.77760e-05,-13.5
-1.77680e-05,-13.75
-1.77600e-05,-13.75
-1.77520e-05,-13.75
-1.77440e-05,-13.75
-1.77360e-05,-13.75
-1.77280e-05,-13.5
-1.77200e-05,-13.75
-1.77120e-05,-13.75
-1.77040e-05,-13.75
-1.76960e-05,-13.75
-1.76880e-05,-13.75
-1.76800e-05,-13.75
-1.76720e-05,-13.75
-1.76640e-05,-13.75
-1.76560e-05,-13.75
-1.76480e-05,-13.75
-1.76400e-05,-13.5
-1.76320e-05,-13.75
-1.76240e-05,-13.75
-1.76160e-05,-13.5
-1.76080e-05,-13.75
-1.76000e-05,-13.75
-1.75920e-05,-13.75
-1.75840e-05,-13.75
-1.75760e-05,-13.75
-1.75680e-05,-13.75
-1.75600e-05,-13.75
-1.75520e-05,-13.75
-1.75440e-05,-13.75
-1.75360e-05,-13.75
-1.75280e-05,-13.75
-1.75200e-05,-13.75
-1.75120e-05,-13.75
-1.75040e-05,-13.75
-1.74960e-05,-13.75
-1.74880e-05,-13.75
-1.74800e-05,-13.75
