Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
1.266,1,8.34999999999999,7.58814535727589
1.268,1,8.34999999999999,7.60736596849831
1.27,1,8.34999999999999,7.62378682876068
1.272,1,8.34999999999999,7.63709416164041
1.274,1,8.34999999999999,7.6474279514457
1.276,1,8.34999999999999,7.65515631605911
1.278,1,8.34999999999999,7.66073268454273
1.28,1,8.34999999999999,7.58891230534778
1.282,1,8.34999999999999,7.55861056034688
1.284,1,8.34999999999999,7.55343760233528
1.286,1,8.34999999999999,7.56217409940307
1.288,1,8.34999999999999,7.57746499050135
1.29,1,8.34999999999999,7.59474159542656
1.292,1,8.34999999999999,7.61137186900321
1.294,1,8.34999999999999,7.62601617043821
1.296,1,8.34999999999999,7.63815619830689
1.298,1,8.34999999999999,7.57206383365292
1.3,1,8.34999999999999,7.54647919715987
1.302,1,8.34999999999999,7.54501876314161
1.304,1,8.34999999999999,7.55656571889928
1.306,1,8.34999999999999,7.57390869786368
1.308,1,8.34999999999999,7.59263048727452
1.31,1,8.34999999999999,7.53454078710151
1.312,1,8.34999999999999,7.51692662251948
1.314,1,8.34999999999999,7.52263284098598
1.316,1,8.34999999999999,7.54021052493213
1.318,1,8.34999999999999,7.56238333759642
1.32,1,8.34999999999999,7.50911902936161
1.322,1,8.34999999999999,7.57228575355464
1.324,1,8.34999999999999,7.53990245362953
1.326,1,8.34999999999999,7.53546600715959
1.328,1,8.34999999999999,7.5463689444285
1.33,1,8.34999999999999,7.56437490800449
1.332,1,8.34999999999999,7.58439115436346
1.334,1,8.34999999999999,7.67920269567622
1.336,1,8.34999999999999,7.65314042941123
1.338,1,8.34999999999999,7.6408982770525
1.34,1,8.34999999999999,7.63723339088077
1.342,1,8.34999999999999,7.63850369314469
1.344,1,8.34999999999999,7.56658119262254
1.346,1,8.34999999999999,7.53842898805786
1.348,1,8.34999999999999,7.53639402648692
1.35,1,8.34999999999999,7.54848586616065
1.352,1,8.34999999999999,7.56691683183416
1.354,1,8.34999999999999,7.51120989778967
1.356,1,8.34999999999999,7.49716891290349
1.358,1,8.34999999999999,7.50673039202927
1.36,1,8.34999999999999,7.52793324587089
1.362,1,8.34999999999999,7.55325075195249
1.364,1,8.34999999999999,7.57826349145322
1.366,1,8.34999999999999,7.60064506812011
1.368,1,8.34999999999999,7.61941471104363
1.37,1,8.34999999999999,7.63440594756045
1.372,1,8.34999999999999,7.64590292665235
1.374,1,8.34999999999999,7.65440202860221
1.376,1,8.34999999999999,7.66046380664067
1.378,1,8.34999999999999,7.66462770722873
1.38,1,8.34999999999999,7.66736868126826
1.382,1,8.34999999999999,7.66908041425003
1.384,1,8.34999999999999,7.67007440498583
1.386,1,8.34999999999999,7.59488866820357
1.388,1,8.34999999999999,7.56220263964448
1.39,1,8.34999999999999,7.55540383529104
1.392,1,8.34999999999999,7.48738043877035
1.394,1,8.34999999999999,7.46912407406751
1.396,1,8.34999999999999,7.47920578784027
1.398,1,8.34999999999999,7.50340260521488
1.4,1,8.34999999999999,7.53273759788461
1.402,1,8.34999999999999,7.56191706602011
1.404,1,8.34999999999999,7.58813370894594
1.406,1,8.34999999999999,7.61018306677528
1.408,1,8.34999999999999,7.62783420476789
1.41,1,8.34999999999999,7.64139807325613
1.412,1,8.34999999999999,7.65144387120047
1.414,1,8.34999999999999,7.65862232046328
1.416,1,8.34999999999999,7.58786447033159
1.418,1,8.34999999999999,7.55823269295008
1.42,1,8.34999999999999,7.55345426196538
1.422,1,8.34999999999999,7.56239948029965
1.424,1,8.34999999999999,7.5777794193293
1.426,1,8.34999999999999,7.59507247256417
1.428,1,8.34999999999999,7.611678860269
1.43,1,8.34999999999999,7.62628012670992
1.432,1,8.34999999999999,7.63837115647696
1.434,1,8.34999999999999,7.64793036773165
1.436,1,8.34999999999999,7.65519613330697
1.438,1,8.34999999999999,7.58482299216936
1.44,1,8.34999999999999,7.63139544476585
1.442,1,8.34999999999999,7.58433003111239
1.444,1,8.34999999999999,7.56768011794178
1.446,1,8.34999999999999,7.56889131507448
1.448,1,8.34999999999999,7.57950668314909
1.45,1,8.34999999999999,7.59408874841796
1.452,1,8.34999999999999,7.60934670162892
1.454,1,8.34999999999999,7.62345914499953
1.456,1,8.34999999999999,7.63556794946211
1.458,1,8.34999999999999,7.64541330379381
1.46,1,8.34999999999999,7.65308006779107
1.462,1,8.34999999999999,7.65882850773961
1.464,1,8.34999999999999,7.66298673105549
1.466,1,8.34999999999999,7.66588663577694
1.468,1,8.34999999999999,7.66782938411403
1.47,1,8.34999999999999,7.66907002612648
1.472,1,8.34999999999999,7.6698138520117
1.474,1,8.34999999999999,7.67021935821221
1.476,1,8.34999999999999,7.67040444733024
1.478,1,8.34999999999999,7.59475482275527
1.48,1,8.34999999999999,7.56183465489639
1.482,1,8.34999999999999,7.55494732391416
1.484,1,8.34999999999999,7.56262069770928
1.486,1,8.34999999999999,7.57730064403481
1.488,1,8.34999999999999,7.594267707831
1.49,1,8.34999999999999,7.61077970200942
1.492,1,8.34999999999999,7.62541938030104
1.494,1,8.34999999999999,7.63761584389207
1.496,1,8.34999999999999,7.64730581981343
1.498,1,8.34999999999999,7.6547029507427
1.5,1,8.34999999999999,7.58444853001006
1.502,1,8.34999999999999,7.55542232569583
1.504,1,8.34999999999999,7.55124416407277
1.506,1,8.34999999999999,7.56072757957203
1.508,1,8.34999999999999,7.5765595003587
1.51,1,8.34999999999999,7.59421395567623
1.512,1,8.34999999999999,7.6110977785771
1.514,1,8.34999999999999,7.62590432652739
1.516,1,8.34999999999999,7.63814190430938
1.518,1,8.34999999999999,7.64780188262031
1.52,1,8.34999999999999,7.65513405910597
1.522,1,8.34999999999999,7.66050137304243
1.524,1,8.34999999999999,7.66429127121133
1.526,1,8.34999999999999,7.6668660285619
1.528,1,8.34999999999999,7.59283982540543
1.53,1,8.34999999999999,7.56097428371519
1.532,1,8.34999999999999,7.55473420451604
1.534,1,8.34999999999999,7.56277373306579
1.536,1,8.34999999999999,7.57763381255165
1.538,1,8.34999999999999,7.59466404262166
1.54,1,8.34999999999999,7.61117060097295
1.542,1,8.34999999999999,7.62576880064929
1.544,1,8.34999999999999,7.63790866104824
1.546,1,8.34999999999999,7.64753955572241
1.548,1,8.34999999999999,7.65488211516767
1.55,1,8.34999999999999,7.66027983126528
1.552,1,8.34999999999999,7.66410780544831
1.554,1,8.34999999999999,7.66672097263123
1.556,1,8.34999999999999,7.66842848408015
1.558,1,8.34999999999999,7.66948456678381
1.56,1,8.34999999999999,7.67008907039412
1.562,1,8.34999999999999,7.67039312568729
1.564,1,8.34999999999999,7.67050697006898
1.566,1,8.34999999999999,7.67050815622091
1.568,1,8.34999999999999,7.67044915488097
1.57,1,8.34999999999999,7.67036388420565
1.572,1,8.34999999999999,7.67027302235279
1.574,1,8.34999999999999,7.67018814693724
1.576,1,8.34999999999999,7.67011484041389
1.578,1,8.34999999999999,7.670054937596
1.58,1,8.34999999999999,7.67000809393065
1.582,1,8.34999999999999,7.66997283681216
1.584,1,8.34999999999999,7.66994723748712
1.586,1,8.34999999999999,7.66992931434006
1.588,1,8.34999999999999,7.66991725314679
1.59,1,8.34999999999999,7.66990950799422
1.592,1,8.34999999999999,7.66990482861084
1.594,1,8.34999999999999,7.66990224576101
1.596,1,8.34999999999999,7.66990103571954
1.598,1,8.34999999999999,7.66990067709863
1.6,1,8.34999999999999,7.66990080785762
1.602,1,8.34999999999999,7.66990118665332
1.604,1,8.34999999999999,7.66990166031872
1.606,1,8.34999999999999,7.66990213782063
1.608,1,8.34999999999999,7.66990257024066
1.61,1,8.34999999999999,7.66990293594446
1.612,1,8.34999999999999,7.66990322998103
1.614,1,8.34999999999999,7.66990345678366
1.616,1,8.34999999999999,7.66990362535203
1.618,1,8.34999999999999,7.6699037462323
1.62,1,8.34999999999999,7.66990382975454
1.622,1,8.34999999999999,7.66990388511366
1.624,1,8.34999999999999,7.66990391999231
1.626,1,8.34999999999999,7.66990394050828
1.628,1,8.34999999999999,7.669903951341
1.63,1,8.34999999999999,7.66990395594129
1.632,1,8.34999999999999,7.6699039567645
1.634,1,8.34999999999999,7.74560287316895
1.636,1,8.34999999999999,7.7027961414468
1.638,1,8.34999999999999,7.75242377860764
1.64,1,8.34999999999999,7.77074131789296
1.642,1,8.34999999999999,7.77055615106575
1.644,1,8.34999999999999,7.76052344326954
1.646,1,8.34999999999999,7.74623012296317
1.648,1,8.34999999999999,7.65537678065348
1.65,1,8.34999999999999,7.60836670067018
1.652,1,8.34999999999999,7.58937396773429
1.654,1,8.34999999999999,7.66289377194702
1.656,1,8.34999999999999,7.62708817828828
1.658,1,8.34999999999999,7.61222204662698
1.66,1,8.34999999999999,7.60998826061416
1.662,1,8.34999999999999,7.53901170778637
1.664,1,8.34999999999999,7.58978380815769
1.666,1,8.34999999999999,7.54906458995117
1.668,1,8.34999999999999,7.53927908716669
1.67,1,8.34999999999999,7.54695352159523
1.672,1,8.34999999999999,7.5631803217637
1.674,1,8.34999999999999,7.5823658024656
1.676,1,8.34999999999999,7.60123534829239
1.678,1,8.34999999999999,7.61807408515926
1.68,1,8.34999999999999,7.63216805895259
1.682,1,8.34999999999999,7.64340747990867
1.684,1,8.34999999999999,7.65201554016983
1.686,1,8.34999999999999,7.65837095276773
1.688,1,8.34999999999999,7.66289797845104
1.69,1,8.34999999999999,7.66600329158006
1.692,1,8.34999999999999,7.66804405213761
1.694,1,8.34999999999999,7.66931576829931
1.696,1,8.34999999999999,7.67005190943168
1.698,1,8.34999999999999,7.67042982272447
1.7,1,8.34999999999999,7.67057942703084
1.702,1,8.34999999999999,7.6705925294942
1.704,1,8.34999999999999,7.74623047241136
1.706,1,8.34999999999999,7.70332928749231
1.708,1,8.34999999999999,7.67715502424173
1.71,1,8.34999999999999,7.66248300853294
1.712,1,8.34999999999999,7.65539216885577
1.714,1,8.34999999999999,7.57734460339513
1.716,1,8.34999999999999,7.54486415077225
1.718,1,8.34999999999999,7.53988620169423
1.72,1,8.34999999999999,7.55006414898613
1.722,1,8.34999999999999,7.56731883904431
1.724,1,8.34999999999999,7.58664394497943
1.726,1,8.34999999999999,7.60516570454657
1.728,1,8.34999999999999,7.62143108790837
1.73,1,8.34999999999999,7.63488802135149
1.732,1,8.34999999999999,7.64551931689744
1.734,1,8.34999999999999,7.65359468903762
1.736,1,8.34999999999999,7.65951021159399
1.738,1,8.34999999999999,7.6636902434478
1.74,1,8.34999999999999,7.66653234279605
1.742,1,8.34999999999999,7.66838054003815
1.744,1,8.34999999999999,7.66951636961182
1.746,1,8.34999999999999,7.67016025618677
1.748,1,8.34999999999999,7.67047828508932
1.75,1,8.34999999999999,7.67059117543424
1.752,1,8.34999999999999,7.67058354214858
1.754,1,8.34999999999999,7.67051239790917
1.756,1,8.34999999999999,7.67041441068934
1.758,1,8.34999999999999,7.67031178149184
1.76,1,8.34999999999999,7.67021680624419
1.762,1,8.34999999999999,7.67013528583547
1.764,1,8.34999999999999,7.67006898541474
1.766,1,8.34999999999999,7.5943184263471
1.768,1,8.34999999999999,7.56138750987058
1.77,1,8.34999999999999,7.55453857906979
1.772,1,8.34999999999999,7.56227276970055
1.774,1,8.34999999999999,7.57701948325048
1.776,1,8.34999999999999,7.5940498974133
1.778,1,8.34999999999999,7.61061716762704
1.78,1,8.34999999999999,7.62530236111911
1.782,1,8.34999999999999,7.63753464317169
1.784,1,8.34999999999999,7.64725173202203
1.786,1,8.34999999999999,7.65466865806987
1.788,1,8.34999999999999,7.66012709450767
1.79,1,8.34999999999999,7.66400251985853
1.792,1,8.34999999999999,7.66665137971975
1.794,1,8.34999999999999,7.66838479138405
1.796,1,8.34999999999999,7.59376007894483
1.798,1,8.34999999999999,7.5614845811154
1.8,1,8.34999999999999,7.55497554512835
1.802,1,8.34999999999999,7.56284784403594
1.804,1,8.34999999999999,7.57761144065072
1.806,1,8.34999999999999,7.59459243316812
1.808,1,8.34999999999999,7.611079805165
1.81,1,8.34999999999999,7.62567673568454
1.812,1,8.34999999999999,7.63782500580491
1.814,1,8.34999999999999,7.64746864106295
1.816,1,8.34999999999999,7.65482499290316
1.818,1,8.34999999999999,7.58453678329988
1.82,1,8.34999999999999,7.63118276986946
1.822,1,8.34999999999999,7.5841775553901
1.824,1,8.34999999999999,7.5675747897336
1.826,1,8.34999999999999,7.5688215218399
1.828,1,8.34999999999999,7.57946272581134
1.83,1,8.34999999999999,7.59406290543779
1.832,1,8.34999999999999,7.60933306799383
1.834,1,8.34999999999999,7.62345336708745
1.836,1,8.34999999999999,7.63556693055199
1.838,1,8.34999999999999,7.6454149229906
1.84,1,8.34999999999999,7.6530829338429
1.842,1,8.34999999999999,7.65883175575831
1.844,1,8.34999999999999,7.66298986217595
1.846,1,8.34999999999999,7.665889395537
1.848,1,8.34999999999999,7.66783167348375
1.85,1,8.34999999999999,7.6690718387279
