Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
6.254,1,8.83000000001887,7.59419445950201
6.256,1,8.83000000001805,7.56154903426036
6.258,1,8.83000000001728,7.55483638824185
6.26,1,8.83000000001654,7.56261385460774
6.262,1,8.83000000001582,7.57734997945409
6.264,1,8.83000000001514,7.59434212895297
6.266,1,8.83000000001449,7.61086015399271
6.268,1,8.83000000001387,7.6254951077037
6.27,1,8.83000000001327,7.5619826604325
6.272,1,8.8300000000127,7.53876863196822
6.274,1,8.83000000001215,7.53933323063644
6.276,1,8.83000000001163,7.6282200100326
6.278,1,8.83000000001113,7.67972931228278
6.28,1,8.83000000001065,7.70622482926582
6.282,1,8.83000000001019,7.64106884126947
6.284,1,8.83000000000976,7.60917296831198
6.286,1,8.83000000000934,7.52246077902431
6.288,1,8.83000000000893,7.49077708416644
6.29,1,8.83000000000855,7.49156215329758
6.292,1,8.83000000000818,7.50958238828458
6.294,1,8.83000000000783,7.53501404923124
6.296,1,8.83000000000749,7.56188754758981
6.298,1,8.83000000000717,7.58687753918429
6.3,1,8.83000000000686,7.53269789634392
6.302,1,8.83000000000657,7.51735049698191
6.304,1,8.83000000000628,7.52422354116237
6.306,1,8.83000000000601,7.54226639169368
6.308,1,8.83000000000576,7.56448432962152
6.31,1,8.83000000000551,7.58673564067506
6.312,1,8.83000000000527,7.60680863021672
6.314,1,8.83000000000504,7.62373899366606
6.316,1,8.83000000000483,7.6373227195521
6.318,1,8.83000000000462,7.64778132693534
6.32,1,8.83000000000442,7.65554136868758
6.322,1,8.83000000000423,7.66109662454704
6.324,1,8.83000000000405,7.58922906846453
6.326,1,8.83000000000387,7.55887090503881
6.328,1,8.83000000000371,7.55364216920333
6.33,1,8.83000000000355,7.48662981739595
6.332,1,8.8300000000034,7.46898663456426
6.334,1,8.83000000000325,7.47940886738949
6.336,1,8.83000000000311,7.50376720956406
6.338,1,8.83000000000298,7.4574534260866
6.34,1,8.83000000000285,7.4537265081595
6.342,1,8.83000000000273,7.47307513788385
6.344,1,8.83000000000261,7.50281823253889
6.346,1,8.8300000000025,7.53516822747445
6.348,1,8.83000000000239,7.49001651185618
6.35,1,8.83000000000229,7.48369537164973
6.352,1,8.83000000000219,7.49870292948632
6.354,1,8.83000000000209,7.59930087997945
6.356,1,8.830000000002,7.58420997440562
6.358,1,8.83000000000192,7.58462101755012
6.36,1,8.83000000000184,7.59325727661581
6.362,1,8.83000000000176,7.60542693324622
6.364,1,8.83000000000168,7.61827953358679
6.366,1,8.83000000000161,7.63022778510152
6.368,1,8.83000000000154,7.64051458419451
6.37,1,8.83000000000147,7.64890021491835
6.372,1,8.83000000000141,7.65544449628169
6.374,1,8.83000000000135,7.58466214056148
6.376,1,8.83000000000129,7.55533335385059
6.378,1,8.83000000000124,7.5510026336288
6.38,1,8.83000000000118,7.56042854155353
6.382,1,8.83000000000113,7.57625931263226
6.384,1,8.83000000000108,7.59394278225588
6.386,1,8.83000000000104,7.61086883960041
6.388,1,8.83000000000099,7.62572050272297
6.39,1,8.83000000000095,7.63800027901961
6.392,1,8.83000000000091,7.64769673582956
6.394,1,8.83000000000087,7.57935982288844
6.396,1,8.83000000000083,7.62755720462724
6.398,1,8.8300000000008,7.5817370375297
6.4,1,8.83000000000076,7.56600701969494
6.402,1,8.83000000000073,7.56787384181496
6.404,1,8.8300000000007,7.57893921585915
6.406,1,8.83000000000067,7.59381723530266
6.408,1,8.83000000000064,7.60925979132192
6.41,1,8.83000000000061,7.62347924434254
6.412,1,8.83000000000059,7.63564312362703
6.414,1,8.83000000000056,7.64551042497702
6.416,1,8.83000000000054,7.65317930585343
6.418,1,8.83000000000051,7.65891908013772
6.42,1,8.83000000000049,7.66306374370293
6.422,1,8.83000000000047,7.59024989971813
6.424,1,8.83000000000045,7.63498533238978
6.426,1,8.83000000000043,7.58658609479926
6.428,1,8.83000000000041,7.56900230965151
6.43,1,8.83000000000039,7.56958506240778
6.432,1,8.83000000000038,7.57979686793724
6.434,1,8.83000000000036,7.59413510978661
6.436,1,8.83000000000035,7.60925847838286
6.438,1,8.83000000000033,7.62330786726181
6.44,1,8.83000000000032,7.63539798099304
6.442,1,8.8300000000003,7.64525014446733
6.444,1,8.83000000000029,7.5772377246667
6.446,1,8.83000000000028,7.55011865421027
6.448,1,8.83000000000027,7.54748084561758
6.45,1,8.83000000000025,7.558157016424
6.452,1,8.83000000000024,7.5748786299257
6.454,1,8.83000000000023,7.59317337299438
6.456,1,8.83000000000022,7.61050130471558
6.458,1,8.83000000000021,7.62560352525899
6.46,1,8.8300000000002,7.63802844633218
6.462,1,8.8300000000002,7.5721005980177
6.464,1,8.83000000000019,7.54660005468037
6.466,1,8.83000000000018,7.54517253176128
6.468,1,8.83000000000017,7.55672185967077
6.47,1,8.83000000000016,7.57405069301235
6.472,1,8.83000000000016,7.59275092548512
6.474,1,8.83000000000015,7.6103367618525
6.476,1,8.83000000000014,7.62559273929854
6.478,1,8.83000000000014,7.63810070952399
6.48,1,8.83000000000013,7.64790892938073
6.482,1,8.83000000000013,7.65530958455536
6.484,1,8.83000000000012,7.66069608830256
6.486,1,8.83000000000012,7.66447700103249
6.488,1,8.83000000000011,7.66702863646423
6.49,1,8.83000000000011,7.66867297340389
6.492,1,8.8300000000001,7.66967124073851
6.494,1,8.8300000000001,7.67022649267161
6.496,1,8.83000000000009,7.67049072347387
6.498,1,8.83000000000009,7.67057370054856
6.5,1,8.83000000000009,7.67055184192899
6.502,1,8.83000000000008,7.67047624129454
6.504,1,8.83000000000008,7.67037944639797
6.506,1,8.83000000000007,7.67028090379562
6.508,1,8.83000000000007,7.67019115506526
6.51,1,8.83000000000007,7.59441603547798
6.512,1,8.83000000000007,7.56146238946724
6.514,1,8.83000000000006,7.55459394874595
6.516,1,8.83000000000006,7.56231227173632
6.518,1,8.83000000000006,7.57704662581714
6.52,1,8.83000000000006,7.59406777093132
6.522,1,8.83000000000005,7.61062833475599
6.524,1,8.83000000000005,7.62530885018707
6.526,1,8.83000000000005,7.63753799740834
6.528,1,8.83000000000004,7.64725308368746
6.53,1,8.83000000000004,7.65466880854162
6.532,1,8.83000000000004,7.66012658964075
6.534,1,8.83000000000004,7.66400171538729
6.536,1,8.83000000000004,7.66665049489486
6.538,1,8.83000000000004,7.6683839510426
6.54,1,8.83000000000004,7.66945826293742
6.542,1,8.83000000000004,7.59437616493219
6.544,1,8.83000000000004,7.56179597958519
6.546,1,8.83000000000003,7.55509374756285
6.548,1,8.83000000000003,7.63855028409873
6.55,1,8.83000000000003,7.61044565513385
6.552,1,8.83000000000003,7.60132830117517
6.554,1,8.83000000000003,7.60323498685902
6.556,1,8.83000000000003,7.61083161140128
6.558,1,8.83000000000002,7.62071240784674
